鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
東區,房地(土地+建物)+車位,臺中市東區東福路１０６號五樓,37.3,都市：其他:第二種住宅區,,,1101015,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060116,211.86,4,2,2,有,有,15100000,71273,坡道平面,0.0,0,,RPTNMLTKIIGGFAB57DA,111.71,13.74,0.0,有,0157
南區,房地(土地+建物),臺中市南區復興路２段１１３號３樓之１,10.72,都市：其他:第一種商業區,,,1101009,土地2建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710918,79.94999999999999,3,2,1,有,有,4800000,60038,,0.0,0,含仲介費；,RPTNMLQKIIGGFAB27DA,63.95,3.15,0.0,有,
南區,房地(土地+建物)+車位,臺中市南區工學北路６３號１５樓之３,7.85,,,,1101003,土地1建物1車位1,十五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860918,99.19,2,1,1,有,有,5950000,59986,坡道機械,0.0,0,,RPUNMLPKIIGGFAB27DA,60.83,2.72,0.0,有,
南區,房地(土地+建物),臺中市南區學府路２１號六樓之１,4.96,都市：其他:第二種住宅區,,,1101018,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0850322,34.73,1,1,1,有,有,2100000,60466,,0.0,0,陽台外推；,RPWNMLRLIIGGFAB77DA,15.87,7.62,0.0,有,
南區,房地(土地+建物)+車位,臺中市南區文心南路８８８號三樓之二十二,16.53,都市：其他:第三種住宅區。,,,1101021,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000127,157.66,3,2,2,有,有,13260000,84105,坡道機械,9.82,0,,RPUNMLSLIIGGFAB67DA,81.92,18.85,0.0,有,0158
東區,房地(土地+建物),臺中市東區大公街１７巷５弄５號,80.0,都市：其他:第一種商業區,,,1101002,土地2建物1車位0,全,一層,透天厝,住家用,木造,,46.02,3,2,2,有,無,9900000,215124,,0.0,0,其他增建；,RPPPMLLJJIGGFAB56DA,40.5,5.52,0.0,無,0159
西區,房地(土地+建物)+車位,臺中市西區公路２１號八樓,37.43,都市：其他:第二種住宅區,,,1101003,土地2建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031130,259.52,4,2,3,有,有,21880000,84309,坡道平面,75.08,0,,RPVOMLPJJIGGFAB47DA,112.53,10.0,0.0,有,0160
西區,房地(土地+建物),臺中市西區五權一街５號,271.0,都市：其他:第二種住宅區,,,1101005,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0560620,168.97,2,3,2,有,無,62000000,366929,,0.0,0,陽台外推；其他增建；,RPVOMLOJJIGGFAB37DA,168.97,0.0,0.0,無,
西區,房地(土地+建物)+車位,臺中市西區公益路６３號六樓之１,45.25,都市：其他:第二種住宅區,,,1101029,土地1建物1車位2,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071120,319.38,3,2,2,有,有,42200000,154412,坡道平面,69.4,3600000,,RPWNMLKKJIGGFAB07DA,124.51,43.58,0.0,有,
西區,房地(土地+建物)+車位,臺中市西區中興街５３巷２號２樓之３,19.54,都市：其他:第二種住宅區,,,1101102,土地2建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840612,121.8,2,2,2,有,有,12150000,99754,坡道機械,0.0,0,含傢俱設備費；,RPUNMLMKJIGGFAB07DA,72.74,16.28,0.0,有,0161
