鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
金山區,房地(土地+建物)+車位,新北市金山區山城路１０１號７樓,52.38,,山坡地保育區,丙種建築用地,1101103,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890913,140.82,2,1,1,有,有,3600000,25565,坡道平面,57.75,0,,RPUNMLMKJIGGFDF77DA,58.74,7.35,0.0,有,
汐止區,房地(土地+建物),新北市汐止區新興路８４巷１號３樓,30.33,都市：其他:第二種住宅區,,,1100909,土地1建物1車位0,三層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0791004,115.69999999999999,4,1,2,有,無,7500000,64823,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLLKJIGGFDF77DA,95.76,10.81,0.0,無,
汐止區,房地(土地+建物),新北市汐止區民族六街７巷１７號三樓,25.72,都市：其他:第二種住宅區,,,1101019,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,91.08,3,2,1,有,無,10200000,111989,,0.0,0,,RPTNMLPKJIGGFDF97DA,79.25,11.83,0.0,無,0389
汐止區,房地(土地+建物),新北市汐止區汐萬路一段１９６號十樓,17.07,都市：其他:第二種住宅區,,,1101013,土地1建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000225,102.76,3,2,1,有,有,9000000,87583,,0.0,0,陽台加窗,RPUPMLTJJIGGFDF58DA,56.65,13.22,0.0,有,0390
汐止區,車位,汐萬路一段１９２號等,0.16,都市：其他:第二種住宅區,,,1101013,土地1建物1車位1,,,其他,,,,14.39,0,0,0,有,有,1680000,,坡道平面,14.39,1680000,僅車位交易；,RPSPMLTJJIGGFDF38DA,0.0,0.0,0.0,有,0026
汐止區,房地(土地+建物)+車位,新北市汐止區東勢街２０１巷１２９弄５０號五樓,38.62,,山坡地保育區,丙種建築用地,1100901,土地2建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1070131,147.66,0,0,0,無,有,22380000,173681,坡道平面,31.47,2200000,本案轉讓1/2價格不變,RPQNMLTJJIGGFDF97DA,64.85,8.53,0.0,有,
金山區,車位,新北市金山區仁愛路１５之１號等,0.55,都市：其他:住宅區,,,1101103,土地1建物1車位1,,,其他,,,,39.46,0,0,0,有,有,1000000,,坡道平面,39.46,1000000,車位總價拆分:1.土地價款:50萬元2.建物價款:50萬元僅車位交易；,RPRPMLPKJIGGFDF97DA,0.0,0.0,0.0,有,0026
金山區,房地(土地+建物)+車位,新北市金山區仁愛路１５之７號七樓,41.24,都市：其他:住宅區,,,1101016,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051107,172.20999999999998,3,2,2,有,有,8750000,57250,坡道平面,39.46,1150000,買賣總價拆分:1.土地價款:380萬元2.建物價款:380萬元3.車位土地價款:57萬5仟元4.車位建物價款:57萬5仟元,RPXOMLPKJIGGFDF48DA,83.56,12.63,0.0,有,0393
金山區,車位,新北市金山區仁愛路１５之１號等,0.55,都市：其他:住宅區,,,1101102,土地1建物1車位1,,,其他,,,,39.46,0,0,0,有,有,1050000,,坡道平面,39.46,1050000,車位總價拆分:1.土地價款:52.5萬元2.建物價款:52.5萬元僅車位交易；,RPOPMLPKJIGGFDF67DA,0.0,0.0,0.0,有,0026
汐止區,房地(土地+建物),新北市汐止區忠孝東路２６７號８樓,20.22,都市：其他:第二種住宅區,,,1100930,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880718,111.08,3,2,2,有,有,16000000,144040,,0.0,0,陽台加窗其他增建；,RPPPMLPKJIGGFDF77DA,79.78,11.66,0.0,有,
