鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大溪區,房地(土地+建物)+車位,桃園市大溪區興昌路二段１００號,51.1,,特定農業區,甲種建築用地,1100609,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100830,78.02000000000001,2,1,2,有,有,4750000,66903,其他,15.99,600000,預售屋、或土地及建物分件登記案件；,RPPQMLMJJIGGFCH57DA,57.6,3.49,0.0,有,
大溪區,房地(土地+建物),桃園市大溪區興昌路二段１０２號二樓,35.14,,特定農業區,甲種建築用地,1100610,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100830,78.17,2,1,2,有,有,3800000,48612,,0.0,0,預售屋、或土地及建物分件登記案件；,RPRQMLMJJIGGFCH77DA,57.6,3.64,0.0,有,
大溪區,房地(土地+建物),桃園市大溪區興昌路二段１００號二樓,35.14,,特定農業區,甲種建築用地,1100630,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100830,78.08,2,1,2,有,有,3850000,49308,,0.0,0,預售屋、或土地及建物分件登記案件；,RPSQMLMJJIGGFCH87DA,57.6,3.55,0.0,有,
大溪區,房地(土地+建物),桃園市大溪區興昌路二段８８之３號,94.91,,特定農業區,甲種建築用地,1100917,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100830,211.11,5,2,5,有,有,13200000,62527,,0.0,0,預售屋、或土地及建物分件登記案件；,RPXNMLMJJIGGFCH08DA,196.43,14.43,0.0,無,
大溪區,房地(土地+建物),桃園市大溪區興昌路二段８８之６號,94.91,,特定農業區,甲種建築用地,1100727,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100830,211.11,5,2,5,有,有,12980000,61485,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOOMLMJJIGGFCH27DA,196.43,14.43,0.0,無,
大溪區,房地(土地+建物),桃園市大溪區興昌路二段８８之５號,94.91,,特定農業區,甲種建築用地,1100727,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100830,211.11,5,2,5,有,有,12980000,61485,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPOMLMJJIGGFCH37DA,196.43,14.43,0.0,無,
大溪區,房地(土地+建物),桃園市大溪區興昌路二段８８之７號,94.91,,特定農業區,甲種建築用地,1100727,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100830,211.11,5,2,5,有,有,12980000,61485,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQOMLMJJIGGFCH47DA,196.43,14.43,0.0,無,
大溪區,房地(土地+建物),桃園市大溪區興昌路二段９０之８號,94.91,,特定農業區,甲種建築用地,1100811,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100830,211.11,5,2,5,有,有,13000000,61579,,0.0,0,預售屋、或土地及建物分件登記案件；,RPROMLMJJIGGFCH57DA,196.43,14.43,0.0,無,
大溪區,房地(土地+建物),桃園市大溪區興昌路二段９０之９號,100.18,,特定農業區,甲種建築用地,1100422,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100830,222.83,5,2,5,有,有,13900000,62379,,0.0,0,預售屋、或土地及建物分件登記案件；,RPSOMLMJJIGGFCH67DA,208.0,14.58,0.0,無,
大溪區,房地(土地+建物),桃園市大溪區興昌路二段９２之２號,94.91,,特定農業區,甲種建築用地,1100926,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100830,211.11,5,2,5,有,有,12980000,61485,,0.0,0,預售屋、或土地及建物分件登記案件；,RPTOMLMJJIGGFCH77DA,196.43,14.43,0.0,無,
大溪區,房地(土地+建物),桃園市大溪區興昌路二段９２之３號,94.91,,特定農業區,甲種建築用地,1100725,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100830,211.11,5,2,5,有,有,12980000,61485,,0.0,0,預售屋、或土地及建物分件登記案件；,RPUOMLMJJIGGFCH87DA,196.43,14.43,0.0,無,
大溪區,房地(土地+建物),桃園市大溪區興昌路二段９２之６號,94.91,,特定農業區,甲種建築用地,1100806,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100830,211.11,5,2,5,有,有,12980000,61485,,0.0,0,預售屋、或土地及建物分件登記案件；,RPVOMLMJJIGGFCH97DA,196.43,14.43,0.0,無,
