鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
松山區,房地(土地+建物)+車位,臺北市松山區民生東路五段１３７巷４弄１０號十五樓,19.52,都市：其他:第三種商業區(民生社區特定專用區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1101011,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720129,192.79999999999998,3,2,1,有,有,35300000,183091,坡道平面,0.0,0,陽台外推；,RPVPMLTJJIGGFDA18DA,147.6,21.91,0.0,有,160
士林區,房地(土地+建物)+車位,臺北市士林區後港街１４１號十三樓之２,42.08,都市：其他:第參種工業區(不得作住宅使用)。,,,1100929,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0990128,303.81,3,2,3,有,有,50000000,164577,坡道平面,0.0,0,陽台外推；,RPSPMLTKIIGGFEA97DA,156.85,20.85,0.0,有,
北投區,房地(土地+建物),臺北市北投區致遠三路４１號三樓,28.59,都市：其他:第二種住宅區。,,,1100922,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730921,109.07000000000001,3,2,2,有,無,19200000,176034,,0.0,0,陽台外推；,RPWNMLKLIIGGFEA37DA,88.29,11.89,0.0,無,
士林區,房地(土地+建物),臺北市士林區基河路１２８號十一樓之２０,8.2,都市：其他:第三種住宅區。,,,1101011,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850916,29.8,1,1,1,有,有,6000000,201342,,0.0,0,,RPPOMLKLIIGGFEA76DA,17.59,2.6,0.0,有,
松山區,房地(土地+建物),臺北市松山區撫遠街３９０巷２２號三樓,26.25,都市：其他:住宅用地(民生社區特定專用區)。,,,1101025,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610519,65.07,3,1,1,有,無,10000000,153681,,0.0,0,,RPRNMLTKJIGGFDA67DA,65.07,0.0,0.0,無,
士林區,房地(土地+建物),臺北市士林區永平街２５巷６號,30.19,都市：其他:第三種住宅區。,,,1101008,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701228,100.88,3,2,2,有,無,15000000,148692,,0.0,0,其他增建；,RPVOMLMLIIGGFEA57DA,82.36,18.52,0.0,無,
北投區,房地(土地+建物),臺北市北投區中山北路七段２１９巷３弄１２１號,22.9,都市：其他:第二種住宅區。,,,1101011,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731027,112.21000000000001,3,2,2,有,有,17500000,155958,,0.0,0,其他增建；,RPSPMLTLIIGGFEA08DA,87.31,18.23,0.0,有,161
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段８２巷９７號六樓,15.97,都市：其他:第三種住宅區。,,,1101016,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040708,109.34,2,1,1,有,有,19420000,177611,坡道機械,27.27,0,,RPUPMLRLIIGGFEA08DA,49.97,8.0,0.0,有,162
士林區,房地(土地+建物),臺北市士林區忠誠路一段９８號十樓,20.22,都市：其他:第三之二種住宅區。,,,1101009,土地4建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770711,120.05,3,2,2,有,有,28800000,239900,,0.0,0,陽台外推；,RPOQMLMKJIGGFEA07DA,89.92,10.47,0.0,有,
北投區,土地,豐年段三小段341地號,407.82,都市：其他:農業區。,,,1101012,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,19616,,0.0,0,,RPUQMLOJJIGGFEA77DA,0.0,0.0,0.0,無,
北投區,土地,洲美段二小段51-5地號,208.5,都市：其他:農業區。,,,1101013,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11226460,53844,,0.0,0,,RPVQMLOJJIGGFEA87DA,0.0,0.0,0.0,無,
北投區,房地(土地+建物),臺北市北投區溫泉路７８號七樓之６,13.6,都市：其他:第三種住宅區。,,,1101021,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660607,51.43,2,1,1,有,有,6900000,134163,,0.0,0,陽台外推；其他增建；,RPOOMLPJJIGGFEA07DA,46.87,4.56,0.0,有,
北投區,房地(土地+建物),臺北市北投區大業路３００巷２８之１號三樓,28.61,都市：其他:第三種住宅區。,,,1100929,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680221,91.43,3,2,1,有,無,11200000,122498,,0.0,0,,RPPPMLOJJIGGFEA17DA,83.13,8.3,0.0,無,
士林區,房地(土地+建物),臺北市士林區福港街３７巷１６號二樓,23.67,都市：其他:第三種住宅區。,,,1100922,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0590921,66.5,3,2,1,有,無,12250000,184211,,0.0,0,其他增建；,RPRNMLSJJIGGFEA57DA,66.5,0.0,0.0,無,163
北投區,房地(土地+建物),臺北市北投區溫泉路１４３之３號,21.4,都市：其他:特定休閒旅館住宅專用區。,,,1101025,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780214,69.15,1,1,1,有,有,5000000,72307,,0.0,0,,RPTNMLQKJIGGFEA67DA,47.56,3.04,0.0,有,
北投區,房地(土地+建物),臺北市北投區幽雅路７號四樓之７,6.12,都市：其他:市場用地(公共設施用地)。59/7/4,,,1101105,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980205,37.86,0,0,0,無,有,4680000,123613,,0.0,0,陽台外推；,RPRNMLPKJIGGFEA37DA,18.03,5.87,0.0,有,
北投區,房地(土地+建物),臺北市北投區石牌路一段３９巷１３３弄３號二樓,39.5,都市：其他:第三種住宅區。,,,1101025,土地1建物1車位0,二層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640206,114.96,3,2,2,有,無,19300000,167884,,0.0,0,,RPXNMLPKJIGGFEA97DA,114.96,0.0,0.0,無,
