鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大寮區,房地(土地+建物)+車位,高雄市大寮區琉球路１６２之９號二樓,31.76,都市：其他:住宅區,,,1100927,土地2建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土,1091217,100.15,3,2,2,有,有,6000000,59910,一樓平面,0.0,0,,RPQNMLSJJIGGFLE58DA,60.3,5.99,0.0,有,0088
大寮區,土地,黃厝段354地號,117.62,都市：其他:道路用地,,,1101023,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,590000,5016,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLTJJIGGFLE98DA,0.0,0.0,0.0,無,
大寮區,房地(土地+建物)+車位,高雄市大寮區仁德路１０之１號九樓之４,11.95,都市：其他:第二種住宅區,,,1101005,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840217,123.30000000000001,3,2,2,有,有,4850000,39335,坡道機械,0.0,0,,RPUNMLTJJIGGFLE09DA,75.53,14.64,0.0,有,
林園區,房地(土地+建物),高雄市林園區港嘴二路１３５巷１８弄４號,95.0,都市：其他:住宅區,,,1100927,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0691122,102.1,2,1,2,有,無,1580000,15475,,0.0,0,屋況破舊鋼筋外露,RPUNMLQLIIGGFLE88DA,102.1,0.0,0.0,無,0089
大寮區,土地,山子頂段3847-3地號,406.0,都市：其他:農業區,,,1101010,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7369200,18151,,0.0,0,,RPRNMLOKIIGGFLE28DA,0.0,0.0,0.0,無,0090
美濃區,土地,中圳段737地號,643.23,都市：其他:乙種工業區,,,1101014,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,10883,,0.0,0,,RPSNMLKKJIGGFKE97DA,0.0,0.0,0.0,無,
美濃區,房地(土地+建物),高雄市美濃區泰中路１２３巷１５號,163.9,都市：其他:住宅區,,,1101013,土地2建物1車位0,見其他登記事項,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1000408,317.53,5,2,3,有,無,12400000,39051,,0.0,0,本標的一樓工作陽台白華現象，頂樓增建的外牆木前有滲漏水情形，上述現況依現況點交給買方自行修繕處理。另一樓後工作陽台進去室內磁磚有凸起現象已詳實告知買方知悉，依現況點交。頂樓加蓋；其他增建；,RPPNMLRLIIGGFKE38DA,302.13,15.4,0.0,無,
六龜區,土地,文武段71地號,634.04,,鄉村區,乙種建築用地,1100929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,5047,,0.0,0,,RPTNMLTLRHGGFKE17DA,0.0,0.0,0.0,無,
路竹區,土地,順安段1668-3地號,442.61,,一般農業區,農牧用地,1100603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1450000,3276,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLKJIGGFJE77DA,0.0,0.0,0.0,無,
路竹區,房地(土地+建物),高雄市路竹區道德街３０巷６號,136.11,都市：其他:住宅區,,,1101013,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0950801,229.87,4,2,5,有,無,8000000,34802,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLLKJIGGFJE87DA,211.27,18.6,0.0,無,
